institution,urls,articletype,retractiondate,retractiondoi,originalpaperdate,originalpaperdoi,retractionnature,reason,notes,rorids,rornames,rorcountries,rorregions,container,publisher,prefix,funder
"['Basic Research Program, SAIC-Frederick, National Cancer Institute-Frederick'
 'Cancer Stem Cell Section, Laboratory of Cancer Prevention, Division of Basic Sciences, National Cancer Institute-Frederick']",['http://retractionwatch.com/2015/01/19/franken-paper-u-s-federal-contractor-heads-grave/'],journal-article,2/2/2015 0:00,10.1155/2015/982750,5/22/2008 0:00,10.1155/2008/961753,Retraction,"['+Duplication of Text' '+Euphemisms for Duplication'
 '+Euphemisms for Plagiarism' '+Plagiarism of Text']",See also: https://pubpeer.com/publications/5703EADF09E4A39733685AC0241BBA,[],[],[],[],PPAR Research,Wiley,10.1155,National Cancer Institute
"['College of Arts, Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia'
 'College of Social Studies and Economics, University of Bahri, Khartoum, Sudan']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",journal-article,11/1/2023 0:00,10.1155/2023/9845253,10/29/2021 0:00,10.1155/2021/8425206,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party' '+Paper Mill'
 '+Computer-Aided Content or Computer-Generated Content'
 '+Unreliable Results and/or Conclusions']",None,[],[],[],[],Journal of Healthcare Engineering,Hindawi Limited,10.1155,None
"['Department of General Surgery, The First Affiliated Hospital of Nanjing Medical University, No.300, Guangzhou road, Nanjing, Jiangsu province, China'
 'Department of Surgical Oncology, University of Miami, Miami, USA'
 'Collaborative Innovation Center For Cancer Personalized Medicine, Nanjing Medical University, Nanjing, 210029, Jiangsu Province, China']",[],journal-article,7/18/2024 0:00,10.1186/s13046-024-03123-7,12/20/2018 0:00,10.1186/s13046-018-0993-y,Retraction,"['+Concerns/Issues About Data' '+Duplication of/in Image'
 '+Euphemisms for Duplication' '+Unreliable Data']",None,[],[],[],[],Journal of Experimental &amp; Clinical Cancer Research,Springer Science and Business Media LLC,10.1186,National Natural Science Foundation of China
"['College of Natural Resources and Environment, Northwest A&F University, Yangling 712100, PR China']",[],journal-article,11/7/2024 0:00,10.1016/j.biortech.2018.06.073,6/26/2018 0:00,10.1016/j.biortech.2018.06.073,Retraction,"['+Concerns/Issues About Authorship/Affiliation' '+Conflict of Interest'
 '+Date of Article and/or Notice Unknown' '+Fake Peer Review'
 '+Investigation by Journal/Publisher' '+Investigation by Third Party'
 '+Objections by Author(s)']","date of retraction unknown, html page overwrite, date estimated from notifications;",[],[],[],[],Bioresource Technology,Elsevier BV,10.1016,National Natural Science Foundation of China
"['Department of Neurosurgery, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, P.R. China']",[],journal-article,6/30/2021 0:00,10.1002/jcb.30046,12/26/2017 0:00,10.1002/jcb.26469,Retraction,"['+Duplication of/in Image' '+Investigation by Third Party' '+Paper Mill'
 '+Unreliable Results and/or Conclusions']",None,[],[],[],[],Journal of Cellular Biochemistry,Wiley,10.1002,None
"['Department of Orthopaedic and Trauma Surgery, ASL BARI, Altamura, Italy']","['http://retractionwatch.com/2012/04/25/patient-database-errors-lead-to-three-rheumatology-retractions/'
 'http://www.retractionwatch.com/?s=saccomanni']",journal-article,2/1/2012 0:00,10.1007/s00296-011-2202-6,11/9/2011 0:00,10.1007/s00296-011-2202-6,Retraction,['+Ethical Violations by Author' '+Plagiarism of Article'],None,['https://ror.org/02jpqrb52'],[None],['United States'],['Illinois'],Rheumatology International,Springer Science and Business Media LLC,10.1007,None
"['College of Physical Education, Hunan Agricultural University, ChangSha 410128, HuNan, China'
 'College of Orient Science and Technology, Hunan Agricultural University, Changsha 410128, HuNan, China']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",journal-article,8/30/2023 0:00,10.1155/2023/9843632,9/29/2022 0:00,10.1155/2022/2987270,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party' '+Paper Mill'
 '+Computer-Aided Content or Computer-Generated Content'
 '+Unreliable Results and/or Conclusions']",See also: https://pubpeer.com/publications/CCF756AC90ECFC35F414839CE74706,['https://ror.org/01dzed356'],[None],['China'],['Hunan'],Journal of Environmental and Public Health,Wiley,10.1155,Study on Ecological Value Evaluation and Ecological Compensation Mechanism of Rural Leisure Sports Resources
"['Department of Pharmacology and Toxicology, Radboud University Nijmegen Medical Centre, Nijmegen, The Netherlands'
 'Interdepartmental Stem Cell Institute, Katholieke Universiteit Leuven, Leuven, Belgium'
 'Centre for Molecular and Vascular Biology, Katholieke Universiteit Leuven, Leuven, Belgium'
 'Central Hematology Laboratory, Radboud University Nijmegen Medical Centre, Nijmegen, The Netherlands'
 'Department of Radiation Oncology, Radboud University Nijmegen Medical Centre, Nijmegen, The Netherlands'
 'Department of Human Genetics, Radboud University Nijmegen Medical Centre, Nijmegen, The Netherlands'
 'Department of Nephrology, Radboud University Nijmegen Medical Centre, Nijmegen, The Netherlands']",[],journal-article,9/26/2021 0:00,10.1177/09636897211031022,5/4/2010 0:00,10.3727/096368910X504478,Retraction,"['+Concerns/Issues About Data' '+Duplication of/in Image'
 '+Investigation by Company/Institution' '+Investigation by Third Party']",see also: https://pubpeer.com/publications/B6BF5572205A19C7ADDBD0F902AFC3,['https://ror.org/05f950310' 'https://ror.org/05wg1m734'],[None],['The Netherlands'],['Gelderland'],Cell Transplantation,SAGE Publications,10.1177,None
"['Max Planck Institute for Neurological Research, Cologne, Germany'
 'Department of Neurology, Comprehensive Epilepsy Center, University of Pennsylvania, Philadelphia, Pennsylvania, U.S.A']",[],journal-article,10/29/2003 0:00,10.1046/j.1528-1157.2003.44114_1.x,8/12/2003 0:00,10.1046/j.1528-1157.2003.05203.x,Retraction,['+Euphemisms for Plagiarism' '+Plagiarism of Text'],None,['https://ror.org/0199g0r92'],[None],['Germany'],['North Rhine-Westphalia'],Epilepsia,Wiley,10.1111,None
"['School of Computer Science, Hubei University of Technology, Wuhan, 430068, China']",['https://retractionwatch.com/2022/09/09/physics-publisher-retracting-nearly-500-likely-paper-mill-papers/'],journal-article,9/23/2022 0:00,10.1088/1742-6596/1607/1/012132,8/17/2020 0:00,10.1088/1742-6596/1607/1/012092,Retraction,['+Fake Peer Review' '+Investigation by Journal/Publisher' '+Paper Mill'],None,[],[],[],[],Journal of Physics: Conference Series,IOP Publishing,10.1088,None
