raw,ror,name,country,region
"Department of Computer System and Information Technology, Faculty of Computer Science and Information Technology, University of Malaya, 50603 Kuala Lumpur, Malaysia",https://ror.org/05tqmmk50,,Indonesia,Central Java
"Power Research and Testing Company, Energopomiar-Elektryka, Gliwice, Poland",https://ror.org/02ra35s50,,United States,Georgia
"Department of Pathology, Dalhousie University, Halifax, Nova Scotia, Canada",https://ror.org/01r49ds17,,Canada,Nova Scotia
"Department of Arts and Science, The Engineering and Technical College, Chengdu University of Technology, Leshan, China",https://ror.org/01swcva92,,China,Sichuan
"Metallurgical and Materials Engineering Department, Indian Institute of Technology, Roorkee, India",https://ror.org/00582g326,,India,Uttarakhand
"Department of Information Management, Xinjiang University of Finance and Economics, Urumqi 830012, Xinjiang, China",https://ror.org/00fk31757,,China,Xinjiang
"Institute of Health and Community Medicine, Universiti Malaysia Sarawak, Kota Samarahan, Sarawak, Malaysia",https://ror.org/05b307002,,Malaysia,Sarawak
"Post Graduate and Research Department of Physics, Ethiraj College for Women, Chennai, Tamilnadu, 600008, India",https://ror.org/049k6hp62,,India,Maharashtra
"Faculty of Architectural Engineering, Kunming Metallurgy College, Kunming 650033, China",https://ror.org/04586n774,,China,Yunnan
"Central Department of Mathematics, Tribhuvan University, Kritipur, Kathmandu, Nepal",https://ror.org/02rg1r889,,Nepal,Bagmati Province
"Department of Chemical Engineering, University of Malaya, Kuala Lumpur",https://ror.org/026wwrx19,,Malaysia,Kuala Lumpur
"School of Mechanical Engineering, Harbin Institute of Technology, China",https://ror.org/01yqg2h08,,China,Heilongjiang
"Old Teaching Department, Maternity Unit, City General Site, North Staffordshire Trust, Stoke on Trent, UK",https://ror.org/02ktavf19,,United Kingdom,England
"Harvard Business School, Harvard University",https://ror.org/03vek6s52,,United States,Massachusetts
"Department of Public Health, College of Medicine and Health Sciences, Samara University, Samara, Ethiopia",https://ror.org/05ggagb37,,Russia,Samara Oblast
"Departamento de Administracao, Analise e Tecnologia da Informacao da Escola de Administração de Empresas de Sao Paulo da Fundacao Getulio Vargas (Eaesp-FGV), Rua Sao Vicente de Paula, 501, Santa Cecília, Sao Paulo – SP – Brasil – CEP 01229-010",https://ror.org/02c0rrp38,,Brazil,São Paulo
"Department of Cardiovascular Surgery, KJinikstr. 29, JustusLiebig-Universiry Giessen, 35392 Giessen, Germany",https://ror.org/033eqas34,,Germany,Hesse
"College of Environment and Ecology (CEE), Chongqing University, Shapingba, Chongqing 400045, China",https://ror.org/023rhb549,,China,Chongqing
"Department of Foreign Languages and Tourism, Henan Institute of Economics and Trade, Zhengzhou, Henan 450000, China",https://ror.org/000jtc944,,China,Henan
"Construction Management and Real Estate Department, Tongji University, Shanghai 200092, China",https://ror.org/04azzhq34,,China,Shanghai
"Evotec (UK), 114 Innovation Drive, Milton Park, Abingdon, OX14 4RZ, United Kingdom",https://ror.org/04qvy9k41,,United Kingdom,England
"Departments of Thoracic Surgery, Graduate School of Medical Science, Kumamoto University, 1-1-1 Honjo, Kumamoto 860-8556, Japan",https://ror.org/059et2b68,,Algeria,Oran
"Institute of Neuroscience and State Key Laboratory of Neuroscience, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, 320 Yueyang Road, Shanghai 200031, China",https://ror.org/011rf9d86,,China,Shanghai
"Gersweiterweg 5, Kaiserslautern, 67657, Germany",https://ror.org/05dkqa017,,Germany,Rheinland-Pfalz
"Department of Oncology, the Second Affiliated Hospital of Soochow University, Suzhou, China",https://ror.org/02xjrkt08,,China,Jiangsu
"Department of Medicine, Meir-Hospital Kfar-Sava and the Sackler Faculty of Medicine, Tel Aviv University, Israel",https://ror.org/04mhzgx49,,Israel,Tel Aviv
"Department of Food Science and Technology, MNS-University of Agriculture, Multan 60000, Pakistan",https://ror.org/051dzs374,,Canada,Ontario
"Glorious Sun School of Business and Management, Dong Hua University, Shanghai, China",https://ror.org/05kf5z787,,China,Shanghai
"Department of Clinical Medicine, School of Basic Medical Sciences, Capital Medical University, Beijing, China",https://ror.org/055qbch41,,China,Beijing
"Physical Education Department, Dongguan City College, Dongguan 523419, Guangdong, China",https://ror.org/02vdh2x09,,China,Guangdong
"Department of Rehabilitation Medicine, Lianyungang Maternal and Child Health Hospital, Lianyungang 222000, Jiangsu, China",https://ror.org/00spt4n57,,China,Jiangsu
"Business School, Guangzhou University, Guangzhou, China",https://ror.org/05ar8rn06,,China,Guangdong
"Faculty of Earth Resources, China University of Geosciences, Wuhan, China",https://ror.org/04gcegc37,,China,Hubei
"Department of Management Engineering, Shijiazhuang Mechanical Engineering College, Heping West 97, China",https://ror.org/02fj6b627,,China,Guangxi
"School of Information and Electrical Engineering, Shaoxing University Yuanpei College, Shaoxing312000, People’s Republic of China",https://ror.org/03fpftn22,,Serbia,Central Serbia
"Cancer Vaccines and Immune Therapies Program, The Vaccine and Gene Therapy Institute of Florida, Port St. Lucie, Florida 34949, USA",https://ror.org/03ez2en98,,United States,Florida
"School of Information Science and Engineering, Qilu Normal University, Jinan 250200, China",https://ror.org/00wztsq19,,China,Shandong
